학수번호-분반	과목명	교수명	학점	이수구분	강의시간표 및 장소	요일	교시	장소
KHPM104 - 00	보건의료경영	최만규	3	학문의기초	"월(5) 하나과학관 지하 131호
수(5) 하나과학관 지하 131호"	['월', '수']	[[5], [5]]	['하나과학관 지하 131호', '하나과학관 지하 131호']
KHPM202 - 00	역학개론	이종태	3	전공선택	"화(2) 아산이학관 633호
목(2) 아산이학관 633호"	['화', '목']	[[2], [2]]	['아산이학관 633호', '아산이학관 633호']
KHPM204 - 00	보건학도를위한의학개론	고병수	3	전공선택	금(4-5) 하나과학관 지하 127호	['금']	[[4, 5]]	['하나과학관 지하 127호']
KHPM206 - 00	중급보건통계학	김혜영	3	전공선택	"화(2) 하나과학관 지하 127호
목(2) 하나과학관 지하 127호"	['화', '목']	[[2], [2]]	['하나과학관 지하 127호', '하나과학관 지하 127호']
KHPM208 - 00	의료보장론	이준협	3	전공선택	"월(4) 하나과학관 지하 122호
수(4) 하나과학관 지하 122호"	['월', '수']	[[4], [4]]	['하나과학관 지하 122호', '하나과학관 지하 122호']
KHPM218 - 00	의료회계및원가관리	고귀한	3	전공선택	수(2-3) 하나과학관 지하 109호	['수']	[[2, 3]]	['하나과학관 지하 109호']
KHPM228 - 00	보건데이터코딩파이선기초	최기봉	3	전공선택	"화(1) 하나과학관 지하 125호
화(1) 하나과학관 지하 219호
목(1) 하나과학관 지하 125호
목(1) 하나과학관 지하 219호"	['화', '화', '목', '목']	[[1], [1], [1], [1]]	['하나과학관 지하 125호', '하나과학관 지하 219호', '하나과학관 지하 125호', '하나과학관 지하 219호']
KHPM302 - 00	보건학조사및연구방법(영강)	김진호	3	전공선택	"화(5) 하나과학관 지하 128호
수(5) 하나과학관 지하 128호"	['화', '수']	[[5], [5]]	['하나과학관 지하 128호', '하나과학관 지하 128호']
KHPM306 - 00	건강형평성연구	김은아	3	전공선택	목(5-6) 아산이학관 432호	['목']	[[5, 6]]	['아산이학관 432호']
KHPM308 - 00	보건데이터베이스	이태노	3	전공선택	"월(4) 하나과학관 지하 117호
수(4) 하나과학관 지하 117호"	['월', '수']	[[4], [4]]	['하나과학관 지하 117호', '하나과학관 지하 117호']
KHPM309 - 00	보건경제학	이준협	3	전공선택	"화(2) 하나과학관 지하 122호
목(2) 하나과학관 지하 122호"	['화', '목']	[[2], [2]]	['하나과학관', '하나과학관']
KHPM318 - 00	환경과건강	김세라	3	전공선택	월(5-6) 아산이학관 230호	['월']	[[5, 6]]	['아산이학관 230호']
KHPM322 - 00	보건의료인적자원관리	김수연	3	전공선택	수(2-3) 하나과학관 지하 218호	['수']	[[2, 3]]	['하나과학관 지하 218호']
KHPM324 - 00	현대인의만성질환(영강)	오하나	3	전공선택	"화(4) 하나과학관 지하 131호
목(4) 하나과학관 지하 131호"	['화', '목']	[[4], [4]]	['하나과학관 지하 131호', '하나과학관 지하 131호']
KHPM328 - 00	감염병관리정책학(영강)	최홍조	3	전공선택	"월(3) 하나과학관 지하 111호
목(3) 하나과학관 지하 111호"	['월', '목']	[[3], [3]]	['하나과학관 지하 111호', '하나과학관 지하 111호']
KHPM404 - 00	국제보건사례연구(영강)	김록리	3	전공선택	"화(2) 하나과학관 지하 109호
목(2) 하나과학관 지하 109호"	['화', '목']	[[2], [2]]	['하나과학관 지하 109호', '하나과학관 지하 109호']
KHPM408 - 00	보건의료전략경영론	박세원	3	전공선택	목(5-6) 하나과학관 지하 102호	['목']	[[5, 6]]	['하나과학관 지하 102호']
KHPM410 - 00	보건의료데이터사이언스(영강)	박성철	3	전공선택	"월(2) 하나과학관 지하 131호
수(2) 하나과학관 지하 131호"	['월', '수']	[[2], [2]]	['하나과학관 지하 131호', '하나과학관 지하 131호']
KHPM412 - 00	지역사회건강증진실습	양성우	3	전공선택	"월(5-6) 하나과학관 지하 117호
금(5-6) 하나과학관 지하 117호"	['월', '금']	[[5, 6], [5, 6]]	['하나과학관 지하 117호', '하나과학관 지하 117호']
KHPM424 - 00	사회정책과건강	이빛나	3	전공선택	금(1-2) 하나과학관 지하 127호	['금']	[[1, 2]]	['하나과학관 지하 127호']
SMRT102 - 00	스마트보안수학(영강)	윤지원	3	학문의기초	"화(3) 아산이학관 112호
수(3) 아산이학관 112호"	['화', '수']	[[3], [3]]	['아산이학관 112호', '아산이학관 112호']
SMRT112 - 00	계산논리(영강)	정익래	3	학문의기초	"화(6) 생명과학관(동관)104호
목(6) 생명과학관(동관)104호"	['화', '목']	[[6], [6]]	['생명과학관(동관)104호', '생명과학관(동관)104호']
SMRT222 - 00	현대암호학	홍석희	3	전공필수	"월(5) 미래융합 107호
수(5) 미래융합 107호"	['월', '수']	[[5], [5]]	['미래융합 107호', '미래융합 107호']
SMRT224 - 00	역공학	박정흠	3	전공선택	"화(4) 로봇융합관 201호
목(4) 로봇융합관 201호"	['화', '목']	[[4], [4]]	['로봇융합관 201호', '로봇융합관 201호']
SMRT226 - 00	해킹개론(영강)	신영주	3	전공선택	"월(3-4) 로봇융합관 301호
수(3-4) 과도관 208호"	['월', '수']	[[3, 4], [3, 4]]	['로봇융합관 301호', '과도관 208호']
SMRT242 - 00	시큐어코딩	김승주	3	전공선택	"월(1-2) 
수(1-2) 과도관 208호"	['월', '수']	[[1, 2], [1, 2]]	['', '과도관 208호']
SMRT262 - 00	사이버윤리	권헌영,임지훈	3	전공필수	"화(2) 미래융합 107호
목(2) 미래융합 107호"	['화', '목']	[[2], [2]]	['미래융합 107호', '미래융합 107호']
SMRT302 - 00	데이터보안(영강)	최원석	3	전공선택	"화(5) 로봇융합관 301호
목(5) 로봇융합관 301호"	['화', '목']	[[5], [5]]	['로봇융합관 301호', '로봇융합관 301호']
SMRT322 - 00	현대암호학응용(영강)	최원석	3	전공선택	"월(4-5) 과도관 208호
목(3-4) 과도관 208호"	['월', '목']	[[4, 5], [3, 4]]	['과도관 208호', '과도관 208호']
SMRT332 - 00	시큐어소프트웨어공학I	김승주	3	전공필수	금(1-2)	['금']	[[1, 2]]	['']
SMRT334 - 00	위험관리	민무홍	3	전공선택	수(4-5) 미래융합 106호	['수']	[[4, 5]]	['미래융합 106호']
SMRT336 - 00	인공지능보안Ⅱ(영강)	이상근	3	전공선택	"화(2) 로봇융합관 301호
목(2) 로봇융합관 301호"	['화', '목']	[[2], [2]]	['로봇융합관 301호', '로봇융합관 301호']
SMRT338 - 00	개인정보비식별화개론	윤지원	3	전공선택	"화(4) 미래융합 105호
목(6) 미래융합 105호"	['화', '목']	[[4], [6]]	['미래융합 105호', '미래융합 105호']
SMRT435 - 00	스마트보안응용	김휘강	3	전공선택	"화(5) 로봇융합관 201호
목(5) 로봇융합관 201호"	['화', '목']	[[5], [5]]	['로봇융합관 201호', '로봇융합관 201호']
SMRT463 - 00	개인정보보호	정익래	3	전공선택	"월(2) 미래융합 106호
수(2) 미래융합 106호"	['월', '수']	[[2], [2]]	['미래융합 106호', '미래융합 106호']
SMRT466 - 00	캡스톤디자인Ⅱ	박정흠	3	전공선택	금(1-4) 로봇융합관 301호	['금']	[[1, 2, 3, 4]]	['로봇융합관 301호']
EDUC105 - 00	현장조사기행교육과사유의확장	이상민	1	전공선택	토(1-2) 교육관 204호	['토']	[[1, 2]]	['교육관 204호']
EDUC160 - 00	교육학개론	신창호	3	전공선택	"화(3) 교육관 302호
목(3) 교육관 302호"	['화', '목']	[[3], [3]]	['교육관 302호', '교육관 302호']
EDUC164 - 00	한국교육사	신창호	3	전공필수	"화(4) 교육관 204호
목(4) 교육관 204호"	['화', '목']	[[4], [4]]	['교육관 204호', '교육관 204호']
EDUC200 - 00	비교국제교육학(영강)	Pey-Yan Liou	3	전공선택	목(2-3) 교육관 406A호	['목']	[[2, 3]]	['교육관 406A호']
EDUC224 - 00	교육평가	홍세희	3	전공필수	"월(2) 교육관 403호
수(2) 교육관 306호"	['월', '수']	[[2], [2]]	['교육관 403호', '교육관 306호']
EDUC225 - 00	교육공학	박인우	3	전공필수	월(1-2) 교육관 304호	['월']	[[1, 2]]	['교육관 304호']
EDUC230 - 00	특수교육학개론	손승현	3	전공필수	화(4-5) 교육관 501호	['화']	[[4, 5]]	['교육관 501호']
EDUC264 - 00	미래환경변화와교육정책	변기용	3	전공선택	"월(3) 교육관 406A호
수(3) 교육관 406A호"	['월', '수']	[[3], [3]]	['교육관 406A호', '교육관 406A호']
EDUC274 - 00	청소년발달(영강)	이보라	3	전공선택	수(1-2)	['수']	[[1, 2]]	['']
EDUC303 - 00	교육학교과교육론	성승희	3	전공필수	목(6-8) 교육관 307호	['목']	[[6, 7, 8]]	['교육관 307호']
EDUC308 - 00	교육학교과교재연구및지도법	이효진	3	전공필수	수(4-5) 교육관 303호	['수']	[[4, 5]]	['교육관 303호']
EDUC310 - 00	교육학교과논리및논술	권회림	2	전공필수	목(3-4) 교육관 301호	['목']	[[3, 4]]	['교육관 301호']
EDUC340 - 00	교육사회학	이자형	3	전공필수	수(4-5) 사대신관 402호	['수']	[[4, 5]]	['사대신관 402호']
EDUC350 - 00	교사론	강민수	3	전공선택	금(5-6) 교육관 406A호	['금']	[[5, 6]]	['교육관 406A호']
EDUC356 - 00	성격,동기및정서	이아람	3	전공선택	"화(4) 교육관 310호
목(4) 교육관 310호"	['화', '목']	[[4], [4]]	['교육관 310호', '교육관 310호']
EDUC364 - 00	생활지도와상담의실제(영강)	이상민	3	전공선택	월(4-5) 교육관 303호	['월']	[[4, 5]]	['교육관 303호']
EDUC376 - 00	학습과학과인공지능(영강)	Insook Han	3	전공선택	화(1-2)	['화']	[[1, 2]]	['']
EDUC378 - 00	기업교육프로그램개발론(영강)	장은하	3	전공선택	월(5-6) 교육관 305호	['월']	[[5, 6]]	['교육관 305호']
EDUC396 - 00	평생교육경영학(영강)	신혜연	3	전공선택	화(5-6) 사대신관 321A호	['화']	[[5, 6]]	['사대신관 321A호']
EDUC400 - 00	교육문제세미나	홍후조	3	전공선택	"화(4) 교육관 203호
목(4) 교육관 203호"	['화', '목']	[[4], [4]]	['교육관 203호', '교육관 203호']
EDUC404 - 00	세계의고등교육	권오영	3	전공선택	월(5-6) 교육관 501호	['월']	[[5, 6]]	['교육관 501호']
EDUC443 - 00	인적자원개발론	조대연	3	전공선택	수(5-6) 교육관 308호	['수']	[[5, 6]]	['교육관 308호']
MATE172 - 00	집합론	김용철	3	전공선택	"월(4) 교육관 502호
수(4) 교육관 502호"	['월', '수']	[[4], [4]]	['교육관 502호', '교육관 502호']
MATE202 - 00	해석학II	권혁진	3	전공선택	"화(2-3) 교육관 502호
금(2) 교육관 502호"	['화', '금']	[[2, 3], [2]]	['교육관 502호', '교육관 502호']
MATE204 - 00	기하학	김홍찬	3	전공선택	"화(4) 교육관 502호
목(4) 교육관 502호"	['화', '목']	[[4], [4]]	['교육관 502호', '교육관 502호']
MATE206 - 00	선형대수II(영강)	김대준	3	전공선택	"월(2) 교육관 502호
수(2) 교육관 502호"	['월', '수']	[[2], [2]]	['교육관 502호', '교육관 502호']
MATE208 - 00	미분방정식II	권혁진	3	전공선택	"화(5) 교육관 502호
금(4-5) 교육관 502호"	['화', '금']	[[5], [4, 5]]	['교육관 502호', '교육관 502호']
MATE256 - 00	수학교과논리및논술	김동중	3	전공필수	월(5-6) 교육관 506호	['월']	[[5, 6]]	['교육관 506호']
MATE302 - 00	현대대수II(영강)	김대준	3	전공선택	"월(4) 교육관 506호
수(4) 교육관 506호"	['월', '수']	[[4], [4]]	['교육관 506호', '교육관 506호']
MATE352 - 00	위상수학II	서아림	3	전공선택	"수(3) 교육관 502호
금(6) 교육관 502호"	['수', '금']	[[3], [6]]	['교육관 502호', '교육관 502호']
MATE354 - 00	미분기하II	김홍찬	3	전공선택	"화(2) 교육관 506호
목(2) 교육관 502호"	['화', '목']	[[2], [2]]	['교육관 506호', '교육관 502호']
MATE356 - 00	복소수함수론II	김용철	3	전공선택	"월(5) 교육관 502호
수(5) 교육관 502호"	['월', '수']	[[5], [5]]	['교육관 502호', '교육관 502호']
MATE402 - 00	중등대수교육연습	안정환	3	전공선택	"월(1) 교육관 502호
목(1) 교육관 502호"	['월', '목']	[[1], [1]]	['교육관 502호', '교육관 502호']
MATE404 - 00	해석학개념학습과지도	권혁진	3	전공선택	"수(5-6) 교육관 506호
목(5-6) 교육관 506호"	['수', '목']	[[5, 6], [5, 6]]	['교육관 506호', '교육관 506호']
MATE408 - 00	미래세대수학교육을위한창의성과인성교육	김원	3	전공선택	목(3-4) 교육관 306호	['목']	[[3, 4]]	['교육관 306호']
MATE449 - 00	수학교과교재연구및지도법(영강)	김희정	3	전공필수	화(3-4) 교육관 201호	['화']	[[3, 4]]	['교육관 201호']
