학수번호,강의명,시간,교수명,전공명
HANM110-01,동양의지혜,월(2) 국제관 332호 수(2) 국제관 332호,박종우,한문학과
HANM110-02,동양의지혜,월(3)  수(3) ,김윤섭,한문학과
HANM120-01,생활한자,월(2) 교양관 310호 수(2) 교양관 310호,권혁명,한문학과
HANM120-02,생활한자,화(4) 교육관 102호 목(4) 교육관 102호,이미진,한자·한문연구소 
HANM120-03,생활한자,월(4) 교양관 404호 수(4) 교양관 404호,박황희,한문학과
HANM120-04,생활한자,월(6) 교육관 501호 수(6) 교육관 501호,박선이,한자·한문연구소 
HANM120-05,생활한자,금(1-2) 서관 215호,김광섭,한문학과
HANM120-06,생활한자,월(1) 교양관 404호 수(1) 교양관 404호,WANG YANAN,한국언어문화학술확산연구소
HANM120-07,생활한자,화(1) 교양관 201호 목(1) 교양관 201호,양승이,한문학과
HANM120-08,생활한자,월(3) 미디어관 602호 수(3) 미디어관 602호,최혜미,한문학과
HANM120-09,생활한자,화(5) 법학관구관 B102호 목(5) 법학관구관 B102호,권은지,한문학과
HANM120-10,생활한자,화(3) 교양관 404호 목(3) 교양관 404호,윤선영,한자·한문연구소 
HANM120-11,생활한자,화(2) 서관 132호 목(2) 서관 132호,김홍구,한자·한문연구소 
HANM133-01,교양한문Ⅰ,월(3) 서관 307호 수(3) 서관 307호,구순옥,한문학과
HANM133-02,교양한문Ⅰ,화(3) CJ법학관 512A호 목(3) CJ법학관 512A호,박희인,한문학과
HANM141-00,초급한문,월(2) 서관 224B호 수(2) 서관 224B호,양원석,한문학과
HANM142-00,중급한문,화(2) 법학관신관 206호 목(2) 법학관신관 206호,김병애,한문학과
CHEM151-03,일반화학및연습Ⅰ,화(4) 아산이학관 330호 목(4) 아산이학관 330호,정광섭,화학과
CHEM151-04,일반화학및연습Ⅰ,화(1) 아산이학관 633호 목(1) 아산이학관 633호,김병윤,기초과학연구소 
CHEM153-01,일반화학실험Ⅰ,수(4-5) 이학관별관 305호,박민진,화학과
CHEM153-02,일반화학실험Ⅰ,수(4-5) 이학관별관 309호,이주용,화학과
CHEM153-03,일반화학실험Ⅰ,목(4-5) 이학관별관 305호,박민진,화학과
CHEM153-04,일반화학실험Ⅰ,목(4-5) 이학관별관 309호,이주용,화학과
CHEM153-05,일반화학실험Ⅰ,수(2-3) 이학관별관607,정상영,이과대학
CHEM153-06,일반화학실험Ⅰ,수(2-3) 이학관별관 305호,박민진,화학과
CHEM153-07,일반화학실험Ⅰ,수(2-3) 이학관별관 309호,이주용,화학과
CHEM153-08,일반화학실험Ⅰ,월(2-3) 이학관별관 305호,윤종호,이과대학
CHEM153-09,일반화학실험Ⅰ,월(2-3) 이학관별관 309호,이주용,화학과
CHEM153-10,일반화학실험Ⅰ,목(2-3) 이학관별관605,이순용,이과대학
CHEM153-11,일반화학실험Ⅰ,목(2-3) 이학관별관 307호,김우성,이과대학
CHEM153-12,일반화학실험Ⅰ,월(4-5) 이학관별관 302호,심상희,화학과
CHEM153-13,일반화학실험Ⅰ,월(4-5) 이학관별관 305호,심상희,화학과
CHEM153-14,일반화학실험Ⅰ,월(4-5) 이학관별관 307호,심상희,화학과
CHEM153-15,일반화학실험Ⅰ,월(4-5) 이학관별관 309호,심상희,화학과
CHEM153-16,일반화학실험Ⅰ,월(4-5) 이학관별관605,심상희,화학과
CHEM153-17,일반화학실험Ⅰ,월(4-5) 이학관별관607,심상희,화학과
CHEM153-18,일반화학실험Ⅰ,월(6-8) 이학관별관 302호,심상희,화학과
CHEM153-19,일반화학실험Ⅰ,월(6-8) 이학관별관 305호,심상희,화학과
CHEM153-20,일반화학실험Ⅰ,월(6-8) 이학관별관 307호,심상희,화학과
CHEM153-21,일반화학실험Ⅰ,월(6-8) 이학관별관 309호,심상희,화학과
CHEM153-22,일반화학실험Ⅰ,월(6-8) 이학관별관605,심상희,화학과
CHEM153-23,일반화학실험Ⅰ,월(6-8) 이학관별관607,심상희,화학과
CHEM153-24,일반화학실험Ⅰ,수(2-3) 이학관별관 302호,최진주,화학과
CHEM153-25,일반화학실험Ⅰ,수(2-3) 이학관별관 307호,전민아,화학과
CHEM153-26,일반화학실험Ⅰ,목(4-5) 이학관별관 302호,최진주,화학과
CHEM153-27,일반화학실험Ⅰ,목(4-5) 이학관별관 307호,전민아,화학과
CHEM153-28,일반화학실험Ⅰ,수(4-5) 이학관별관 302호,최진주,화학과
CHEM153-29,일반화학실험Ⅰ,수(4-5) 이학관별관 307호,전민아,화학과
CHEM153-30,일반화학실험Ⅰ,수(4-5) 이학관별관605,원찬주,이과대학
CHEM153-31,일반화학실험Ⅰ,수(4-5) 이학관별관607,나현지,이과대학
CHEM153-32,일반화학실험Ⅰ,금(2-3) 이학관별관 302호,최진주,화학과
CHEM153-33,일반화학실험Ⅰ,금(2-3) 이학관별관 307호,전민아,화학과
CHEM153-34,일반화학실험Ⅰ,금(2-3) 이학관별관 305호,고상윤,이과대학
CHEM153-35,일반화학실험Ⅰ,금(2-3) 이학관별관 309호,이지혜,이과대학
CHEM153-36,일반화학실험Ⅰ,수(2-3) 이학관별관605,김태린,화학과
CHEM153-37,일반화학실험Ⅰ,목(4-5) 이학관별관605,윤종호,이과대학
CHEM153-38,일반화학실험Ⅰ,금(4-5) 이학관별관 307호,김우성,이과대학
CHEM153-39,일반화학실험Ⅰ(영강),금(4-5) 이학관별관 305호,현다경,이과대학
CHEM153-40,일반화학실험Ⅰ,금(4-5) 이학관별관 302호,하정민,이과대학
CHEM153-41,일반화학실험Ⅰ,목(2-3) 이학관별관 302호,지민훈,이과대학
CHEM153-42,일반화학실험Ⅰ,목(2-3) 이학관별관 305호,박민진,화학과
CHEM153-43,일반화학실험Ⅰ,목(2-3) 이학관별관 309호,이지혜,이과대학
CHEM155-01,일반화학실험,화(4-5) 이학관별관 302호,진경석,화학과
CHEM155-02,일반화학실험,화(4-5) 이학관별관 305호,진경석,화학과
CHEM155-03,일반화학실험,화(4-5) 이학관별관 307호,진경석,화학과
CHEM155-04,일반화학실험,화(4-5) 이학관별관 309호,진경석,화학과
CHEM155-05,일반화학실험,화(4-5) 이학관별관605,진경석,화학과
CHEM155-06,일반화학실험,화(4-5) 이학관별관607,진경석,화학과
CHEM155-07,일반화학실험,화(6-8) 이학관별관 302호,진경석,화학과
CHEM155-08,일반화학실험,화(6-8) 이학관별관 305호,진경석,화학과
CHEM155-09,일반화학실험,화(6-8) 이학관별관 307호,진경석,화학과
CHEM155-10,일반화학실험,화(6-8) 이학관별관 309호,진경석,화학과
CHEM155-11,일반화학실험,화(6-8) 이학관별관605,진경석,화학과
CHEM155-12,일반화학실험,화(6-8) 이학관별관607,진경석,화학과
CHEM155-13,일반화학실험,화(2-3) 이학관별관 302호,이용호,화학과
CHEM155-14,일반화학실험,화(2-3) 이학관별관 305호,이용호,화학과
CHEM155-15,일반화학실험,화(2-3) 이학관별관 307호,이용호,화학과
CHEM155-16,일반화학실험,화(2-3) 이학관별관 309호,이용호,화학과
CHEM155-17,일반화학실험,금(5-6) 이학관별관605,김정륜,이과대학
CHEM155-18,일반화학실험(영강),금(5-6) 이학관별관 309호,홍지원,이과대학
PHYS151-01,일반물리학및연습Ⅰ,화(2) 아산이학관 433호 목(2) 아산이학관 433호,조동현,물리학과
PHYS151-02,일반물리학및연습Ⅰ(영강),화(2) 아산이학관 535호 목(2) 아산이학관 535호,홍석철,물리학과
PHYS151-03,일반물리학및연습Ⅰ,월(2) 아산이학관 113호 수(2) 아산이학관 113호,강세종,물리학과
PHYS151-04,일반물리학및연습Ⅰ(영강),월(2) 아산이학관 535호 수(2) 아산이학관 535호,유재혁,물리학과
PHYS151-05,일반물리학및연습Ⅰ(영강),월(2) 아산이학관 536호 수(2) 아산이학관 536호,김민혁,물리학과
PHYS151-06,일반물리학및연습Ⅰ(영강),월(4) 아산이학관 433호 수(4) 아산이학관 433호,원은일,물리학과
PHYS151-07,일반물리학및연습Ⅰ,화(2) 아산이학관 112호 목(2) 아산이학관 112호,박규환,물리학과
PHYS151-08,일반물리학및연습Ⅰ,화(4) 아산이학관 433호 목(4) 아산이학관 433호,최준곤,물리학과
PHYS151-09,일반물리학및연습Ⅰ(영강),월(2) 아산이학관 433호 수(2) 아산이학관 433호,이동헌,물리학과
PHYS151-10,일반물리학및연습Ⅰ(영강),월(2) 아산이학관 112호 수(2) 아산이학관 112호,안정근,물리학과
PHYS151-11,일반물리학및연습Ⅰ(영강),월(2) 아산이학관 230호 수(2) 아산이학관 230호,정재호,물리학과
PHYS151-12,일반물리학및연습Ⅰ(영강),화(1)  목(1) ,이정일,물리학과
PHYS151-13,일반물리학및연습Ⅰ(영강),화(2)  목(2) ,이정일,물리학과
PHYS151-14,일반물리학및연습Ⅰ,월(2) 아산이학관 231호 수(2) 아산이학관 231호,주진수,물리학과
PHYS151-15,일반물리학및연습Ⅰ(영강),화(4)  목(4) ,이정일,물리학과
PHYS151-16,일반물리학및연습Ⅰ(영강),화(4) 아산이학관 112호 목(4) 아산이학관 112호,채은미,물리학과
PHYS151-17,일반물리학및연습Ⅰ(영강),월(3) 아산이학관 433호 수(3) 아산이학관 433호,채은미,물리학과
PHYS161-01,일반물리학실험Ⅰ,월(2-3) 신공학관B107호(실험실),정호용,이과대학
PHYS161-02,일반물리학실험Ⅰ,월(2-3) 신공학관B106호(실험실),이기수,이과대학
PHYS161-03,일반물리학실험Ⅰ,월(2-3) 신공학관B103(실험실),박승,이과대학
PHYS161-04,일반물리학실험Ⅰ,월(2-3) 신공학관B115호(실험실),전진원,이과대학
PHYS161-05,일반물리학실험Ⅰ,월(2-3) 신공학관B114호(실험실),박범현,이과대학
PHYS161-06,일반물리학실험Ⅰ,월(5-6) 신공학관B107호(실험실),정호용,이과대학
PHYS161-07,일반물리학실험Ⅰ,월(5-6) 신공학관B106호(실험실),전진원,이과대학
PHYS161-08,일반물리학실험Ⅰ,월(5-6) 신공학관B103(실험실),김연준,이과대학
PHYS161-09,일반물리학실험Ⅰ(영강),월(5-6) 이학관별관 301(실험실),김태윤,기초과학연구원
PHYS161-10,일반물리학실험Ⅰ,화(2-3) 신공학관B107호(실험실),정해준,이과대학
PHYS161-11,일반물리학실험Ⅰ,화(2-3) 신공학관B106호(실험실),이기수,이과대학
PHYS161-12,일반물리학실험Ⅰ,화(2-3) 신공학관B103(실험실),남선호,이과대학
PHYS161-13,일반물리학실험Ⅰ,화(2-3) 신공학관B115호(실험실),강민정,이과대학
PHYS161-14,일반물리학실험Ⅰ,화(2-3) 신공학관B114호(실험실),조용길,이과대학
PHYS161-15,일반물리학실험Ⅰ,화(2-3) 이학관별관 508호,권다영,이과대학
PHYS161-16,일반물리학실험Ⅰ,화(5-6) 신공학관B107호(실험실),최성욱,이과대학
PHYS161-17,일반물리학실험Ⅰ,화(5-6) 신공학관B106호(실험실),정해석,이과대학
PHYS161-18,일반물리학실험Ⅰ,화(5-6) 신공학관B103(실험실),김연준,이과대학
PHYS161-19,일반물리학실험Ⅰ,수(2-3) 신공학관B107호(실험실),이경민,기초과학연구원
PHYS161-20,일반물리학실험Ⅰ,수(2-3) 신공학관B106호(실험실),김경훈,이과대학
PHYS161-21,일반물리학실험Ⅰ,수(2-3) 신공학관B103(실험실),김진현,이과대학
PHYS161-22,일반물리학실험Ⅰ,수(2-3) 신공학관B115호(실험실),강민정,이과대학
PHYS161-23,일반물리학실험Ⅰ,수(2-3) 신공학관B114호(실험실),정해석,이과대학
PHYS161-24,일반물리학실험Ⅰ,수(2-3) 이학관별관 508호,박승,이과대학
PHYS161-25,일반물리학실험Ⅰ,수(2-3) 이학관별관 507호,남선호,이과대학
PHYS161-26,일반물리학실험Ⅰ,수(2-3) 이학관별관 506호,조용길,이과대학
PHYS161-27,일반물리학실험Ⅰ,수(2-3) 이학관별관 301(실험실),권기경,이과대학
PHYS161-28,일반물리학실험Ⅰ,수(5-6) 신공학관B107호(실험실),이경민,기초과학연구원
PHYS161-29,일반물리학실험Ⅰ,수(5-6) 신공학관B106호(실험실),김경훈,이과대학
PHYS161-30,일반물리학실험Ⅰ,수(5-6) 신공학관B103(실험실),김진현,이과대학
PHYS161-31,일반물리학실험Ⅰ,수(5-6) 신공학관B115호(실험실),권기경,이과대학
PHYS161-32,일반물리학실험Ⅰ(영강),수(5-6) 이학관별관 301(실험실),김태윤,기초과학연구원
PHYS161-33,일반물리학실험Ⅰ,목(2-3) 신공학관B107호(실험실),박종대,물리학과
PHYS161-34,일반물리학실험Ⅰ,목(2-3) 신공학관B106호(실험실),김경민,이과대학
PHYS161-35,일반물리학실험Ⅰ,목(2-3) 신공학관B103(실험실),홍기한,이과대학
PHYS161-36,일반물리학실험Ⅰ,목(2-3) 신공학관B115호(실험실),정해준,이과대학
PHYS161-37,일반물리학실험Ⅰ,목(5-6) 신공학관B107호(실험실),박종대,물리학과
PHYS161-38,일반물리학실험Ⅰ,목(5-6) 신공학관B106호(실험실),김경민,이과대학
PHYS161-39,일반물리학실험Ⅰ,목(5-6) 신공학관B103(실험실),홍기한,이과대학
PHYS161-40,일반물리학실험Ⅰ,목(5-6) 신공학관B115호(실험실),홍병진,이과대학
PHYS161-41,일반물리학실험Ⅰ,목(5-6) 신공학관B114호(실험실),박범현,이과대학
PHYS161-42,일반물리학실험Ⅰ,목(5-6) 이학관별관 508호,최성욱,이과대학
PHYS161-43,일반물리학실험Ⅰ,목(5-6) 이학관별관 507호,조성웅,4단계 BK21 물리학교육연구단
PHYS161-44,일반물리학실험Ⅰ,금(2-3) 신공학관B107호(실험실),박종대,물리학과
PHYS161-45,일반물리학실험Ⅰ,금(2-3) 신공학관B106호(실험실),최일수,이과대학
PHYS161-46,일반물리학실험Ⅰ,금(2-3) 신공학관B103(실험실),임재훈,기초과학연구원
PHYS161-47,일반물리학실험Ⅰ,금(2-3) 신공학관B115호(실험실),조성웅,4단계 BK21 물리학교육연구단
PHYS161-48,일반물리학실험Ⅰ,금(5-6) 신공학관B107호(실험실),박종대,물리학과
PHYS161-49,일반물리학실험Ⅰ,금(5-6) 신공학관B106호(실험실),최일수,이과대학
PHYS161-50,일반물리학실험Ⅰ,금(5-6) 신공학관B103(실험실),임재훈,기초과학연구원
PHYS161-51,일반물리학실험Ⅰ,금(5-6) 신공학관B115호(실험실),유재희,이과대학
PHYS161-52,일반물리학실험Ⅰ,금(2-3) 신공학관B114호(실험실),유재희,이과대학
PHYS161-53,일반물리학실험Ⅰ,금(2-3) 이학관별관 508호,홍병진,이과대학
PHYS183-00,생명물리학및연습,화(2) 아산이학관 113호 목(2) 아산이학관 113호,이경진,물리학과
LIBS150-01,생명과학,월(4) 하나과학관 지하 108호 수(4) 하나과학관 지하 108호,김익영,생명과학부
LIBS150-02,생명과학,월(5) 하나과학관 지하 132호 수(5) 하나과학관 지하 132호,김익영,생명과학부
LIBS150-03,생명과학,월(4) 하나과학관 지하 109호 수(4) 하나과학관 지하 109호,김태성,분자생명과학과
LIBS150-04,생명과학,월(3) 하나과학관 지하 109호 수(3) 하나과학관 지하 109호,임영복,생명과학부
LIBS150-05,생명과학,화(2) 하나과학관 지하 132호 목(2) 하나과학관 지하 132호,윤철원,생명과학부
LIBS151-01,일반생물학및연습I,월(5) 하나과학관 102호 수(5) 하나과학관 102호,김정국,생명과학부
LIBS151-03,일반생물학및연습I,월(2) 하나과학관 102호 수(2) 하나과학관 102호,박세호,분자생명과학과
LIBS151-04,일반생물학및연습I,월(2) 하나과학관 101호 수(2) 하나과학관 101호,김태성,분자생명과학과
LIBS151-05,일반생물학및연습I,화(1) 하나과학관 102호 목(1) 하나과학관 102호,홍정호,분자생명과학과
LIBS151-06,일반생물학및연습I,화(1) 하나과학관 109호 목(1) 하나과학관 109호,이호정,식물생명공학과
LIBS151-08,일반생물학및연습I,월(6) 하나과학관 102호 수(6) 하나과학관 102호,김기순,의학과
LIBS151-10,일반생물학및연습I,화(1) 하나과학관 지하 128호 목(1) 하나과학관 지하 128호,유성철,생명과학부
LIBS151-11,일반생물학및연습I,화(3) 하나과학관 102호 목(3) 하나과학관 102호,안병윤,생명과학부
LIBS151-12,일반생물학및연습I,화(3) 하나과학관 101호 목(3) 하나과학관 101호,김현정,생명과학부
LIBS151-13,일반생물학및연습I(영강),화(5) 하나과학관 101호 목(5) 하나과학관 101호,Hunsang Lee,분자생명과학과
LIBS151-14,일반생물학및연습I,월(1) 하나과학관 109호 수(1) 하나과학관 109호,한경덕,생명과학부
LIBS153-01,일반생물학실험I,월(2-3) 하나과학관 지하 220호,김익영,생명과학부
LIBS153-02,일반생물학실험I,월(2-3) 하나과학관 지하 222호,김현정,생명과학부
LIBS153-03,일반생물학실험I,월(2-3) 하나과학관 지하 223호,옥승한,생명과학부
LIBS153-04,일반생물학실험I,수(2-3) 하나과학관 지하 220호,윤태중,생명과학부
LIBS153-06,일반생물학실험I,수(2-3) 하나과학관 지하 223호,김현정,생명과학부
LIBS153-07,일반생물학실험I,월(5-6) 하나과학관 지하 220호,김태성,분자생명과학과
LIBS153-08,일반생물학실험I,월(5-6) 하나과학관 지하 222호,신정섭,생명과학부
LIBS153-09,일반생물학실험I,월(5-6) 하나과학관 지하 223호,한경덕,생명과학부
LIBS153-10,일반생물학실험I,수(5-6) 하나과학관 지하 220호,홍정호,분자생명과학과
LIBS153-11,일반생물학실험I,수(5-6) 하나과학관 지하 222호,박세호,분자생명과학과
LIBS153-12,일반생물학실험I,수(5-6) 하나과학관 지하 223호,Hunsang Lee,분자생명과학과
LIBS153-13,일반생물학실험I,화(6-8) 하나과학관 지하 220호,옥승한,생명과학부
LIBS153-14,일반생물학실험I,화(6-8) 하나과학관 지하 222호,김정국,생명과학부
LIBS153-15,일반생물학실험I,화(6-8) 하나과학관 지하 223호,윤태중,생명과학부
LIBS153-16,일반생물학실험I,월(7-9) 하나과학관 지하 220호,유성철,생명과학부
LIBS153-18,일반생물학실험I,목(6-8) 하나과학관 지하 220호,신정섭,생명과학부
LIBS153-19,일반생물학실험I,목(6-8) 하나과학관 지하 222호,김홍근,4단계 BK21 환경생태공학교육연구단
LIBS153-20,일반생물학실험I,금(4-5) 하나과학관 지하 220호,윤봉준,분자생명과학과
LIBS153-22,일반생물학실험I,화(3-4) 하나과학관 지하 223호,김지현,생명과학부
LIBS153-23,일반생물학실험I,화(3-4) 하나과학관 지하 220호,옥승한,생명과학부
LIBS153-24,일반생물학실험I,화(3-4) 하나과학관 지하 222호,이호정,식물생명공학과
LIBS153-25,일반생물학실험I,금(2-3) 하나과학관 지하 222호,안병윤,생명과학부
LIBS153-26,일반생물학실험I,금(2-3) 하나과학관 지하 223호,지성길,분자생명과학과
LIBS153-27,일반생물학실험I,목(6-8) 하나과학관 지하 223호,임영복,생명과학부
LIBS153-28,일반생물학실험I,월(7-9) 하나과학관 지하 223호,임영복,생명과학부
LIBS153-29,일반생물학실험I,수(7-9) 하나과학관 지하 220호,유성철,생명과학부
LIBS153-30,일반생물학실험I,수(7-9) 하나과학관 지하 222호,김지현,생명과학부
LIBS153-31,일반생물학실험I,수(7-9) 하나과학관 지하 223호,강지현,한국곤충연구소
LIBS153-32,일반생물학실험I,금(4-5) 하나과학관 지하 223호,김기순,의학과
MATH161-01,미적분학및연습I,화(4) 아산이학관 536호 화(7) 아산이학관 536호 목(4) 아산이학관 536호,허야용,수학과
MATH161-02,미적분학및연습I,화(4-5) 하나과학관 지하 206호 목(4) 하나과학관 지하 206호,조영경,수학과
MATH161-03,미적분학및연습I,월(3-4) 하나과학관 지하 207호 수(3) 하나과학관 지하 207호,강창헌,수학과
MATH161-04,미적분학및연습I,화(4-5) 아산이학관 113호 목(4) 아산이학관 113호,김재현,수학과
MATH161-05,미적분학및연습I,화(1) 교육관 506호 목(1-2) 교육관 506호,조규동,수학과
MATH161-06,미적분학및연습I,화(5-6) 하나과학관 지하 216호 목(6) 하나과학관 지하 216호,강우석,수학과
MATH161-07,미적분학및연습I,화(5-6) 과도관 410호 목(6) 과도관 410호,김기택,수학과
MATH161-08,미적분학및연습I,화(2-3) 아산이학관 111호 목(3) 아산이학관 111호,황진옥,수학과
MATH161-09,미적분학및연습I,화(2-3) 하나과학관 지하 214호 목(3) 하나과학관 지하 214호,조규동,수학과
MATH161-10,미적분학및연습I,화(4) 생명과학관(서관)301호 목(3-4) 생명과학관(서관)301호,김광중,수학과
MATH161-11,미적분학및연습I,월(2) 하나과학관 지하 215호 수(2-3) 하나과학관 지하 215호,김흥숙,수학과
MATH161-12,미적분학및연습I,화(3) 창의관 207호 목(3-4) 창의관 207호,강우석,수학과
MATH161-13,미적분학및연습I,월(5-6) 하나과학관 지하 214호 수(6) 하나과학관 지하 214호,황진옥,수학과
MATH161-14,미적분학및연습I,월(5-6) 하나과학관 지하 207호 수(6) 하나과학관 지하 207호,조영경,수학과
MATH161-15,미적분학및연습I,월(6) 생명과학관(서관)301호 수(5-6) 생명과학관(서관)301호,김재현,수학과
MATH161-16,미적분학및연습I,화(6) 하나과학관 지하 206호 목(5-6) 하나과학관 지하 206호,조영경,수학과
MATH161-17,미적분학및연습I,화(1) 생명과학관(서관) 401호 목(1-2) 생명과학관(서관) 401호,장정환,수학과
MATH161-18,미적분학및연습I,화(3-4) 아산이학관 231호 목(4) 아산이학관 231호,이형용,수학과
MATH161-19,미적분학및연습I,화(4) 하나과학관 지하 207호 목(4-5) 하나과학관 지하 207호,강창헌,수학과
MATH161-20,미적분학및연습I,화(5-6) 아산이학관 112호 목(6) 아산이학관 112호,장우진,수학과
MATH161-21,미적분학및연습I,월(5-6) 하나과학관 지하 127호 수(6) 하나과학관 지하 127호,최은선,수학과
MATH161-22,미적분학및연습I,화(5) 아산이학관 111호 목(4) 아산이학관 535호 목(5) 아산이학관 111호,이경화,수학과
MATH161-23,미적분학및연습I,월(6-7) 하나과학관 지하 206호 수(6) 하나과학관 지하 206호,강우석,수학과
MATH161-24,미적분학및연습I,화(6-7) 하나과학관 지하 214호 목(6) 하나과학관 지하 214호,조규동,수학과
MATH161-25,미적분학및연습I,월(3) 생명과학관(서관) 401호 수(3-4) 생명과학관(서관) 401호,황진옥,수학과
MATH161-26,미적분학및연습I,화(3-4) 생명과학관(서관) 401호 목(3) 생명과학관(서관) 401호,권영우,수학과
MATH161-27,미적분학및연습I(영강),월(6) 아산이학관 111호 수(6-7) 아산이학관 111호,강창헌,수학과
MATH162-01,미적분학및연습II,화(6) 아산이학관 117호 목(6-7) 아산이학관 117호,김재현,수학과
MATH166-01,수학을위한기초컴퓨팅,월(1-2) 이학관542 수(1-2) 이학관542,김홍중,수학과
LIET102-00,산림과문화,화(5-6) 생명과학관(서관) 121호,김재진,환경생태공학부
LIET151-01,화학의기초및연습Ⅰ,월(1)  수(1) ,황광연,융합생명공학과
LIET151-02,화학의기초및연습Ⅰ,월(1) 생명과학관(서관) 401호 수(1) 생명과학관(서관) 401호,정남현,융합생명공학과
LIET151-03,화학의기초및연습Ⅰ,월(1) 생명과학관(서관) 201호 수(1) 생명과학관(서관) 201호,박민석,오정리질리언스연구원
LIET153-01,생물통계학,화(2) 생명과학관(동관)108호 목(2) 생명과학관(동관)108호,천용식,환경생태공학부
LIET153-02,생물통계학,월(5) 생명과학관(서관) 401호 수(5) 생명과학관(서관) 401호,김용은,오정리질리언스연구원
LIET155-01,화학의기초실험Ⅰ,화(2-3) 생명과학관(동관) 110호,박현,융합생명공학과
LIET155-02,화학의기초실험Ⅰ,화(5-6) 생명과학관(동관) 110호,이병천,융합생명공학과
LIET155-03,화학의기초실험Ⅰ,목(5-6) 생명과학관(동관) 110호,이병천,융합생명공학과
LIET155-04,화학의기초실험Ⅰ,금(2-3) 생명과학관(동관) 110호,이병천,융합생명공학과
LIET155-05,화학의기초실험Ⅰ,금(2-3) 생명과학관(서관) 115호,정남현,융합생명공학과
LIET155-06,화학의기초실험Ⅰ,화(2-3) 생명과학관(서관) 115호,황광연,융합생명공학과
LIET155-07,화학의기초실험Ⅰ,수(5-6) 생명과학관(서관) 115호,황광연,융합생명공학과
LIET155-08,화학의기초실험Ⅰ,수(5-6) 생명과학관(동관) 110호,박현,융합생명공학과
LIET155-09,화학의기초실험Ⅰ,화(5-6) 생명과학관(서관) 115호,정남현,융합생명공학과
LIET155-10,화학의기초실험Ⅰ,목(2-3) 생명과학관(서관) 115호,정남현,융합생명공학과
LIET155-11,화학의기초실험Ⅰ,월(5-6) 생명과학관(서관) 115호,정남현,융합생명공학과
LIET155-12,화학의기초실험Ⅰ,월(5-6) 생명과학관(동관) 110호,이병천,융합생명공학과
LIET155-13,화학의기초실험Ⅰ,수(2-3) 생명과학관(서관) 115호,권정환,환경생태공학부
LIET155-14,화학의기초실험Ⅰ,수(2-3) 생명과학관(동관) 110호,현승훈,환경생태공학부
LIET155-15,화학의기초실험Ⅰ,목(5-6) 생명과학관(서관) 115호,황광연,융합생명공학과
LIET155-16,화학의기초실험Ⅰ,월(2-3) 생명과학관(동관) 110호,현승훈,환경생태공학부
LIET155-17,화학의기초실험Ⅰ,목(2-3) 생명과학관(동관) 110호,황광연,융합생명공학과
LIET155-18,화학의기초실험Ⅰ,월(2-3) 생명과학관(서관) 115호,권정환,환경생태공학부
COOP031-00,현장실습A1,미정,손미현,현장실습지원센터
COOP032-00,현장실습A2,미정,손미현,현장실습지원센터
COOP061-00,현장실습B1,미정,손미현,현장실습지원센터
COOP062-00,현장실습B2,미정,손미현,현장실습지원센터
COOP091-00,현장실습C1,미정,손미현,현장실습지원센터
COOP121-00,현장실습D1,미정,손미현,현장실습지원센터
KORE003-00,무제강좌(영강),월(1) 서관 404호 수(1) 서관 404호,Drew Crosby,국어국문학과
KORE107-00,한국고전의세계,월(5) 교양관 102호 수(5) 교양관 102호,김인경,국어국문학과
KORE117-00,비교문학의이해,화(6) 서관 215호 목(6) 서관 215호,김여주,한국언어문화학술확산연구소
KORE119-00,한국문학과세계문학,월(5) 교양관 201호 수(5) 교양관 201호,박헌호,민족문화연구원
KORE128-00,한국근대문학과영화,금(4-5) 법학관구관 B101호,박소영,국어국문학과
KORE129-00,한국민요와대중가요,월(2) 교양관 209호 수(2) 교양관 209호,박인혜,교양교육원 
KORE134-00,아동청소년문학의이해,금(2-3) 법학관구관 B102호,장수경,국어국문학과
KORE137-01,학업한국어말하기,월(3) 국제관 114호 수(3) 국제관 114호,류관표,국어국문학과
KORE137-02,학업한국어말하기,월(4) 서관 402호 목(4) 서관 402호,최지선,국어국문학과
KORE138-01,학업한국어강독,화(3) 서관 403호 목(3) 서관 403호,이동규,국어국문학과
KORE138-02,학업한국어강독,수(3) 국제관 218호 금(3) 국제관 218호,이선미,국어국문학과
KORE139-01,학업한국어듣기,월(2) 국제관 307B호 금(2) 국제관 307B호,강아라미,국어국문학과
KORE139-02,학업한국어듣기,월(3) 서관 314B호 수(3) 서관 403호,최지선,국어국문학과
KORE140-01,학업한국어작문,수(4) 교양관 302호 금(4) 교양관 302호,이선미,국어국문학과
KORE140-02,학업한국어작문,월(2)  수(2) ,류관표,국어국문학과
KORE141-00,한국어의역사,월(4) 사대신관 124호 수(4) 사대신관 124호,이효윤,국어국문학과
KORE146-00,한국어의사소통능력과리더십,화(3) 국제관423 목(3) 국제관423,도원영,민족문화연구원
KORE153-00,한국현대문학의쟁점들,수(3) 사대신관 124호 금(3) 사대신관 124호,신아현,교양교육원 
KORE155-00,문학과여성,화(3) 교양관 201호 목(3) 교양관 201호,박영민,민족문화연구원
KORE156-00,한국어어문규범의이해와적용,월(3) 미디어관 410호 수(3) 미디어관 410호,박아름,국어국문학과
KORE157-00,한국근대문학과도시,화(2) 서관 314B호 목(2) 서관 314B호,최은영,국어국문학과
KORE201-01,한국문학의이해,화(4) 교양관 201호 목(4) 교양관 201호,이승은,국어국문학과
