학수번호-분반	과목명	교수명	학점	이수구분	강의시간표 및 장소	요일	교시	장소
GEKS007 - CF	[진로·창업] 1학년세미나 I	성창원	1	교양	미정			
GEKS007 - CG	[진로·창업] 1학년세미나 I	권영우	1	교양	미정			
GEKS007 - CH	[진로·창업] 1학년세미나 I	허은	1	교양	미정			
GEKS007 - CI	[진로·창업] 1학년세미나 I	정호섭	1	교양	미정			
GEKS007 - CJ	[진로·창업] 1학년세미나 I	유바다	1	교양	미정			
GEKS007 - CK	[진로·창업] 1학년세미나 I	박대재	1	교양	미정			
GEKS007 - CL	[진로·창업] 1학년세미나 I	민경현	1	교양	미정			
GEKS007 - CM	[진로·창업] 1학년세미나 I	민경현	1	교양	미정			
GEKS007 - CN	[진로·창업] 1학년세미나 I	김한웅	1	교양	미정			
GEKS007 - CO	[진로·창업] 1학년세미나 I	김한웅	1	교양	미정			
GEKS007 - CP	[진로·창업] 1학년세미나 I	박상수	1	교양	미정			
GEKS007 - CQ	[진로·창업] 1학년세미나 I	박상수	1	교양	미정			
GEKS007 - CR	[진로·창업] 1학년세미나 I	최준식	1	교양	미정			
GEKS007 - CS	[진로·창업] 1학년세미나 I	조양석	1	교양	미정			
GEKS007 - CT	[진로·창업] 1학년세미나 I	김학진	1	교양	미정			
GEKS007 - CU	[진로·창업] 1학년세미나 I	김채연	1	교양	미정			
GEKS007 - CV	[진로·창업] 1학년세미나 I	조용상	1	교양	미정			
GEKS007 - CW	[진로·창업] 1학년세미나 I	김태연	1	교양	미정			
GEKS007 - CX	[진로·창업] 1학년세미나 I	이태헌	1	교양	미정			
GEKS007 - CY	[진로·창업] 1학년세미나 I	허태균	1	교양	미정			
GEKS007 - CZ	[진로·창업] 1학년세미나 I	최은수	1	교양	미정			
GEKS007 - D1	[진로·창업] 1학년세미나 I	허지원	1	교양	미정			
GEKS007 - D2	[진로·창업] 1학년세미나 I	고영건	1	교양	미정			
GEKS007 - D3	[진로·창업] 1학년세미나 I	김철규	1	교양	미정			
GEKS007 - D4	[진로·창업] 1학년세미나 I	조대엽	1	교양	미정			
GEKS007 - D5	[진로·창업] 1학년세미나 I	임인숙	1	교양	미정			
GEKS007 - D6	[진로·창업] 1학년세미나 I	이명진	1	교양	미정			
GEKS007 - D7	[진로·창업] 1학년세미나 I	정일준	1	교양	미정			
GEKS007 - D8	[진로·창업] 1학년세미나 I	김진영	1	교양	미정			
GEKS007 - D9	[진로·창업] 1학년세미나 I	김원섭	1	교양	미정			
GEKS007 - DA	[진로·창업] 1학년세미나 I	김수한	1	교양	미정			
GEKS007 - DB	[진로·창업] 1학년세미나 I	신은경	1	교양	미정			
GEKS007 - DC	[진로·창업] 1학년세미나 I	송효종	1	교양	미정			
GEKS007 - DD	[진로·창업] 1학년세미나 I	장서현	1	교양	미정			
GEKS007 - DE	[진로·창업] 1학년세미나 I	윤인진	1	교양	미정			
GEKS007 - DF	[진로·창업] 1학년세미나 I	양원석	1	교양	미정			
GEKS007 - DG	[진로·창업] 1학년세미나 I	송혁기	1	교양	미정			
GEKS007 - DH	[진로·창업] 1학년세미나 I	송호빈	1	교양	미정			
