학수번호-분반,과목명,교수명,학점,이수구분,강의시간표 및 장소
ELED161 - 01,영어학입문(영강),이상근,3,전공필수,"월(5) 교육관 406호
수(5) 교육관 406호"
ELED161 - 02,영어학입문(영강),김지현,3,전공필수,"월(2) 교육관 406A호
수(2) 교육관 406A호"
ELED162 - 01,영어청해및회화I(영강),"Hye Won Shin,Yang Julie Kyu",3,전공필수,"월(4) 교육관 308호
화(4) 교육관 308호
수(4) 교육관 308호
목(4) 교육관 308호"
ELED162 - 02,영어청해및회화I(영강),"Hye Won Shin,Stewart John Cooper",3,전공필수,"화(3) 교육관 311호
수(3) 
목(3) 교육관 311호
금(3)"
ELED162 - 03,영어청해및회화I(영강),"Hye Won Shin,Stewart John Cooper",3,전공필수,"화(4) 교육관 309호
수(4) 
목(4) 교육관 309호
금(4)"
ELED164 - 00,영미문학교육(영강),이영주,3,전공필수,"화(3) 교육관 103호
목(3) 교육관 103호"
ELED216 - 00,고급영어독해(영강),Hye Won Shin,3,전공필수,"화(5) 교육관 302호
목(5) 교육관 302호"
ELED217 - 01,영어교과논리및논술(영강),Stewart John Cooper,3,전공필수,"화(3) 교육관 309호
목(3) 교육관 309호"
ELED217 - 02,영어교과논리및논술(영강),Stewart John Cooper,3,전공필수,"화(4) 교육관 313호
목(4) 교육관 313호"
ELED226 - 00,영어문법의이해,정태구,3,전공필수,"월(5) 교육관 310호
수(5) 교육관 310호"
ELED233 - 01,영미문화의이해(영강),Yang Julie Kyu,3,전공필수,"월(4) 교육관 304호
수(4) 교육관 304호"
ELED233 - 02,영미문화의이해(영강),Yang Julie Kyu,3,전공필수,"화(1) 교육관 308호
목(1) 교육관 308호"
ELED241 - 00,영미아동문학강독(영강),어도선,3,전공선택,"화(2) 교육관 501호
목(2) 교육관 501호"
ELED312 - 00,영어청해및회화III(영강),"Yang Julie Kyu,Hye Won Shin",3,전공선택,"월(3) 교육관 312호
화(3) 교육관 312호
수(3) 교육관 312호
목(3) 교육관 312호"
ELED313 - 01,학교현장중심영어발표와실용영어(영강),Stewart John Cooper,3,전공선택,"화(2) 
목(2)"
ELED313 - 02,학교현장중심영어발표와실용영어(영강),Stewart John Cooper,3,전공선택,금(1-2)
ELED334 - 00,영어작문교육론(영강),백진경,3,전공선택,"화(6) 교육관 403호
목(6) 교육관 403호"
ELED335 - 00,영어교과교육론(영강),강유선,3,전공필수,"월(4) 
수(4)"
ELED338 - 00,영어교과교재연구및지도법,서원화,3,전공필수,금(5-6) 교육관 304호
ELED414 - 00,고급영어작문(영강),Yang Julie Kyu,3,전공필수,"월(6) 교육관 310호
수(6) 교육관 310호"
ELED422 - 00,영어의의미와화용(영강),이상근,3,전공선택,"월(2) 교육관 406호
수(2) 교육관 406호"
ELED431 - 00,영어멀티미디어교육론,최희,3,전공선택,"화(4) 교육관 403호
목(4) 교육관 403호"
ELED433 - 00,영어습득론,최희,3,전공선택,"화(6) CJ법학관 315호
목(6) CJ법학관 315호"
ELED442 - 00,영미소설강독(영강),최석무,3,전공선택,"월(5) 교육관 307호
수(5) 교육관 307호"
ELED443 - 00,영미시강독및지도연습(영강),어도선,3,전공선택,"화(5) 교육관 504호
목(5) 교육관 504호"
LESE151 - 00,식품자원경제학개론,양승룡,3,학문의기초,"화(5) 생명과학관(동관)101호
목(5) 생명과학관(동관)101호"
LESE153 - 00,시장과경제(영강),임송수,3,학문의기초,"월(3) 생명과학관(동관)101호
수(3) 생명과학관(동관)101호"
LESE155 - 00,응용경제수학(영강),서동희,3,전공필수,"월(6) 생명과학관(동관)101호
수(6) 생명과학관(동관)101호"
LESE203 - 00,자원경제학,이나영,3,전공선택,"화(3) 생명과학관(동관)101호
목(3) 생명과학관(동관)101호"
LESE207 - 00,응용계량경제학(영강),서병선,3,전공선택,"월(3) 생명과학관(동관)107 호
수(3) 생명과학관(동관)107 호"
LESE209 - 00,미시경제분석(영강),안병일,3,전공선택,"화(4) 생명과학관(동관)101호
목(4) 생명과학관(동관)101호"
LESE210 - 00,식품마케팅,안병일,3,전공선택,"화(6) 생명과학관(동관)101호
목(6) 생명과학관(동관)101호"
LESE304 - 00,자원환경정책,조용성,3,전공선택,월(1-2) 생명과학관(동관)101호
LESE309 - 00,국제식품정책론(영강),이상현,3,전공선택,"화(5) 생명과학관(서관) 401호
목(5) 생명과학관(서관) 401호"
LESE314 - 00,국제농산물무역론(영강),임송수,3,전공선택,수(1-2) 생명과학관(동관)101호
LESE319 - 00,응용재무경제학(영강),김동현,3,전공선택,"월(5) 생명과학관(동관)101호
수(5) 생명과학관(동관)101호"
LESE407 - 00,부동산경제론,이나영,3,전공선택,금(3-4) 생명과학관(동관)101호
LESE410 - 00,기술경제학,원진기,3,전공선택,금(5-6) 생명과학관(동관)101호
LESE411 - 00,응용경제세미나(영강),이상현,3,전공선택,"화(4) 생명과학관(동관)105호
목(4) 생명과학관(동관)105호"
LESE413 - 00,법경제학,이효창,3,전공선택,금(1-2) 생명과학관(동관)101호
